iter	Passed	Remaining
680	5911	2769
681	5918	2759
682	5927	2750
683	5933	2741
684	5941	2732
685	5947	2722
686	5956	2713
687	5964	2704
688	5973	2696
689	5980	2686
690	5989	2678
691	5997	2669
692	6006	2661
693	6015	2652
694	6024	2643
695	6034	2635
696	6042	2626
697	6050	2617
698	6058	2609
699	6067	2600
700	6075	2591
701	6082	2582
702	6089	2572
703	6097	2563
704	6106	2555
705	6115	2546
706	6123	2537
707	6130	2528
708	6139	2519
709	6147	2510
710	6155	2501
711	6163	2493
712	6171	2484
713	6178	2474
714	6185	2465
715	6193	2456
716	6200	2447
717	6207	2438
718	6214	2428
719	6222	2419
720	6230	2411
721	6238	2402
722	6245	2392
723	6253	2383
724	6259	2374
725	6267	2365
726	6275	2356
727	6283	2347
728	6292	2339
729	6299	2329
730	6306	2320
731	6313	2311
732	6320	2302
733	6329	2293
734	6337	2284
735	6346	2276
736	6354	2267
737	6360	2258
738	6369	2249
739	6377	2240
740	6386	2232
741	6394	2223
742	6401	2214
743	6408	2204
744	6415	2195
745	6423	2187
746	6432	2178
747	6440	2169
748	6449	2161
749	6456	2152
750	6463	2143
751	6471	2134
752	6479	2125
753	6486	2116
754	6493	2107
755	6501	2098
756	6508	2089
757	6516	2080
758	6524	2071
759	6532	2062
760	6540	2054
761	6547	2045
762	6554	2035
763	6560	2026
764	6568	2017
765	6575	2008
766	6583	1999
767	6592	1991
768	6600	1982
769	6607	1973
770	6614	1964
771	6621	1955
772	6628	1946
773	6635	1937
774	6642	1928
775	6649	1919
776	6656	1910
777	6663	1901
778	6670	1892
779	6678	1883
780	6685	1874
781	6693	1865
782	6701	1857
783	6709	1848
784	6716	1839
785	6723	1830
786	6730	1821
787	6738	1813
788	6746	1804
789	6754	1795
790	6762	1786
791	6769	1777
792	6776	1768
793	6783	1759
794	6789	1750
795	6796	1741
796	6803	1732
797	6811	1724
798	6817	1715
799	6824	1706
800	6831	1697
801	6838	1688
802	6845	1679
803	6852	1670
804	6859	1661
805	6865	1652
806	6872	1643
807	6879	1634
808	6887	1626
809	6894	1617
810	6901	1608
811	6908	1599
812	6916	1590
813	6923	1581
814	6930	1573
815	6937	1564
816	6945	1555
817	6952	1546
818	6959	1537
819	6966	1529
820	6972	1520
821	6979	1511
822	6986	1502
823	6993	1493
824	7000	1484
825	7009	1476
826	7018	1468
827	7027	1459
828	7036	1451
829	7045	1443
830	7054	1434
831	7063	1426
832	7071	1417
833	7080	1409
834	7088	1400
835	7097	1392
836	7104	1383
837	7111	1374
838	7118	1365
839	7124	1357
840	7131	1348
841	7137	1339
842	7146	1330
843	7154	1322
844	7163	1314
845	7170	1305
846	7180	1297
847	7188	1288
848	7197	1280
849	7205	1271
850	7214	1263
851	7221	1254
852	7228	1245
853	7235	1237
854	7244	1228
855	7253	1220
856	7261	1211
857	7269	1203
858	7278	1194
859	7287	1186
860	7295	1177
861	7303	1169
862	7312	1160
863	7320	1152
864	7329	1143
865	7338	1135
866	7344	1126
867	7351	1117
868	7358	1109
869	7364	1100
870	7374	1092
871	7381	1083
872	7388	1074
873	7397	1066
874	7405	1057
875	7415	1049
876	7422	1041
877	7431	1032
878	7437	1023
879	7446	1015
880	7455	1007
881	7464	998
882	7471	989
883	7478	981
884	7485	972
885	7492	964
886	7500	955
887	7508	946
888	7516	938
889	7522	929
890	7529	921
891	7536	912
892	7543	903
893	7550	895
894	7559	886
895	7567	878
